rank,title,rating_num,year,director,quote,star
240,再次出发之纽约遇见你,8.6,2013,约翰·卡尼 John Carney,爱我就给我看你的播放列表。,342355
241,崖上的波妞,8.5,2008,宫崎骏 Hayao Miyazaki,,372004
242,驴得水,8.3,2016,周申 Shen Zhou / 刘露 Lu Liu,过去的如果就让它过去了，未来只会越来越糟！,747100
243,我爱你,9.1,2011,秋昌民 Chang-min Choo,你要相信，这世上真的有爱存在，不管在什么年纪,129577
244,猜火车,8.5,1996,丹尼·博伊尔 Danny Boyle,不可猜的青春迷笛。,358688
245,浪潮,8.7,2008,丹尼斯·甘塞尔 Dennis Gansel,世界离独裁只有五天。,222307
246,聚焦,8.8,2015,托马斯·麦卡锡 Thomas McCarthy,新闻人的理性求真。,229740
247,小萝莉的猴神大叔,8.4,2015,卡比尔·汗 Kabir Khan,宝莱坞的萝莉与大叔。,402534
248,追随,8.9,1998,克里斯托弗·诺兰 Christopher Nolan,诺兰的牛逼来源于内心散发出的恐惧。,148678
249,黑鹰坠落,8.7,2001,雷德利·斯科特 Ridley Scott,还原真实而残酷的战争。,237966
250,网络谜踪,8.6,2018,阿尼什·查甘蒂 Aneesh Chaganty,,428432
