rank,title,rating_num,year,director,quote,star
101,7号房的礼物,8.9,2013,李焕庆 Hwan-kyeong Lee,《我是山姆》的《美丽人生》。,432626
102,幽灵公主,8.9,1997,宫崎骏 Hayao Miyazaki,人与自然的战争史诗。,433047
103,小森林 夏秋篇,9.0,2014,森淳一 Junichi Mori,那些静得只能听见呼吸的日子里，你明白孤独即生活。,339566
104,第六感,8.9,1999,M·奈特·沙马兰 M. Night Shyamalan,深入内心的恐怖，出人意料的结局。,440105
105,阳光灿烂的日子,8.8,1994,姜文 Wen Jiang,一场华丽的意淫。,498433
106,重庆森林,8.8,1994,王家卫 Kar Wai Wong,寂寞没有期限。,635330
107,唐伯虎点秋香,8.7,1993,李力持 Lik-Chi Lee,华太师是黄霑，吴镇宇四大才子之一。,840005
108,超脱,8.9,2011,托尼·凯耶 Tony Kaye,穷尽一生，我们要学会的，不过是彼此拥抱。,388366
109,爱在黎明破晓前,8.8,1995,理查德·林克莱特 Richard Linklater,缘分是个连绵词，最美不过一瞬。,494284
110,小森林 冬春篇,9.0,2015,森淳一 Junichi Mori,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,304844
111,入殓师,8.9,2008,泷田洋二郎 Yôjirô Takita,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,475890
112,一一,9.1,2000,杨德昌 Edward Yang,我们都曾经是一一。,284795
113,消失的爱人,8.7,2014,大卫·芬奇 David Fincher,年度最佳date movie。,721146
114,功夫,8.7,2004,周星驰 Stephen Chow,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,808697
115,蝙蝠侠：黑暗骑士崛起,8.8,2012,克里斯托弗·诺兰 Christopher Nolan,诺兰就是保证。,574146
116,菊次郎的夏天,8.8,1999,北野武 Takeshi Kitano,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,454213
117,侧耳倾听,8.9,1995,近藤喜文 Yoshifumi Kondo,少女情怀总是诗。,369586
118,人生果实,9.5,2017,伏原健之 Kenshi Fushihara,土壤没有落叶不会肥沃，没有了你就不算人生。,129994
119,倩女幽魂,8.7,1987,程小东 Siu-Tung Ching,两张绝世的脸。,588002
120,无人知晓,9.1,2004,是枝裕和 Hirokazu Koreeda,我的平常生活就是他人的幸福。,231492
121,超能陆战队,8.7,2014,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,Balalala~~~,804895
122,甜蜜蜜,8.9,1996,陈可辛 Peter Chan,相逢只要一瞬间，等待却像是一辈子。,418071
123,借东西的小人阿莉埃蒂,8.8,2010,米林宏昌 Hiromasa Yonebayashi,曾经的那段美好会沉淀为一辈子的记忆。,437408
124,萤火之森,8.9,2011,大森贵弘 Takahiro Omori,触不到的恋人。,410154
125,爱在日落黄昏时,8.8,2004,理查德·林克莱特 Richard Linklater,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,412978
126,完美的世界,9.1,1993,克林特·伊斯特伍德 Clint Eastwood,坏人的好总是比好人的好来得更感人。,221701
127,哈利·波特与阿兹卡班的囚徒,8.8,2004,Alfonso Cuarón,不一样的导演，不一样的哈利·波特。,492396
128,玛丽和马克思,8.9,2009,亚当·艾略特 Adam Elliot,你是我最好的朋友，你是我唯一的朋友 。,360381
129,驯龙高手,8.7,2010,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,和谐的生活离不开摸头与被摸头。,613729
130,幸福终点站,8.8,2004,史蒂文·斯皮尔伯格 Steven Spielberg,有时候幸福需要等一等。,437988
131,告白,8.7,2010,中岛哲也 Tetsuya Nakashima,没有一人完全善，也没有一人完全恶。,575029
132,大鱼,8.8,2003,蒂姆·波顿 Tim Burton,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,463663
133,阳光姐妹淘,8.8,2011,姜炯哲 Hyeong-Cheol Kang,再多各自牛逼的时光，也比不上一起傻逼的岁月。,498574
134,射雕英雄传之东成西就,8.7,1993,刘镇伟 Jeffrey Lau,百看不厌。,521079
135,天书奇谭,9.2,1983(中国大陆),王树忱 Shuchen Wang / 钱运达 Yunda Qian,传奇的年代，醉人的童话。,183306
136,恐怖直播,8.8,2013,金秉祐 Byeong-woo Kim,恐怖分子的“秋菊打官司”。,518915
137,怪兽电力公司,8.7,2001,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,不要给它起名字，起了名字就有感情了。,525383
138,神偷奶爸,8.6,2010,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,Mr. I Don't Care其实也有Care的时候。,781833
139,哈利·波特与密室,8.7,2002,Chris Columbus,魔法的密室之门已打开...,516231
140,玩具总动员3,8.9,2010,李·昂克里奇 Lee Unkrich,跨度十五年的欢乐与泪水。,405604
141,傲慢与偏见,8.6,2005,乔·怀特 Joe Wright,爱是摈弃傲慢与偏见之后的曙光。,624229
