61,让子弹飞,8.9,2010,姜文 Wen Jiang,你给我翻译翻译，神马叫做TMD的惊喜。,1294845
63,绿皮书,8.9,2018,彼得·法雷里 Peter Farrelly,去除成见，需要勇气。,1245160
65,本杰明·巴顿奇事,8.9,2008,大卫·芬奇 David Fincher,在时间之河里感受溺水之苦。,788815
68,看不见的客人,8.8,2016,奥里奥尔·保罗 Oriol Paulo,你以为你以为的就是你以为的。,965038
69,西西里的美丽传说,8.9,2000,朱塞佩·托纳多雷 Giuseppe Tornatore,美丽无罪。,781719
74,情书,8.9,1995,岩井俊二 Shunji Iwai,暗恋的极致。,722622
77,致命魔术,8.9,2006,克里斯托弗·诺兰 Christopher Nolan,孪生蝙蝠侠大战克隆金刚狼。,689426
78,沉默的羔羊,8.9,1991,乔纳森·戴米 Jonathan Demme,安东尼·霍普金斯的顶级表演。,682559
79,禁闭岛,8.8,2010,Martin Scorsese,昔日翩翩少年，今日大腹便便。,758416
80,低俗小说,8.9,1994,昆汀·塔伦蒂诺 Quentin Tarantino,故事的高级讲法。,665020
81,蝴蝶效应,8.8,2004,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,人的命运被自己瞬间的抉择改变。,746671
82,心灵捕手,8.9,1997,格斯·范·桑特 Gus Van Sant,人生中应该拥有这样的一段豁然开朗。,562062
83,七宗罪,8.8,1995,大卫·芬奇 David Fincher,警察抓小偷，老鼠玩死猫。,776708
84,布达佩斯大饭店,8.9,2014,韦斯·安德森 Wes Anderson,小清新的故事里注入了大历史的情怀。,710989
85,春光乍泄,8.9,1997,王家卫 Kar Wai Wong,爱情纠缠，男女一致。,499969
86,哈利·波特与死亡圣器(下),8.9,2011,大卫·叶茨 David Yates,10年的完美句点。,621443
88,被嫌弃的松子的一生,8.9,2006,中岛哲也 Tetsuya Nakashima,以戏谑来戏谑戏谑。,589746
89,阿凡达,8.7,2009,詹姆斯·卡梅隆 James Cameron,绝对意义上的美轮美奂。,1056819
90,喜剧之王,8.8,1999,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,我是一个演员。,767209
91,致命ID,8.8,2003,詹姆斯·曼高德 James Mangold,最不可能的那个人永远是最可能的。,639873
92,剪刀手爱德华,8.7,1990,蒂姆·波顿 Tim Burton,浪漫忧郁的成人童话。,881430
93,杀人回忆,8.9,2003,奉俊昊 Joon-ho Bong,关于连环杀人悬案的集体回忆。,541253
94,加勒比海盗,8.8,2003,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普的独角戏。,700288
95,勇敢的心,8.9,1995,梅尔·吉布森 Mel Gibson,史诗大片的典范。,482248
97,请以你的名字呼唤我,8.9,2017,卢卡·瓜达尼诺 Luca Guadagnino,沉醉在电影的情感和视听氛围中无法自拔。,535927
98,天使爱美丽,8.7,2001,让-皮埃尔·热内 Jean-Pierre Jeunet,法式小清新。,834627
99,断背山,8.8,2005,李安 Ang Lee,每个人心中都有一座断背山。,586671
101,7号房的礼物,8.9,2013,李焕庆 Hwan-kyeong Lee,《我是山姆》的《美丽人生》。,432626
102,幽灵公主,8.9,1997,宫崎骏 Hayao Miyazaki,人与自然的战争史诗。,433047
104,第六感,8.9,1999,M·奈特·沙马兰 M. Night Shyamalan,深入内心的恐怖，出人意料的结局。,440105
105,阳光灿烂的日子,8.8,1994,姜文 Wen Jiang,一场华丽的意淫。,498433
106,重庆森林,8.8,1994,王家卫 Kar Wai Wong,寂寞没有期限。,635330
107,唐伯虎点秋香,8.7,1993,李力持 Lik-Chi Lee,华太师是黄霑，吴镇宇四大才子之一。,840005
108,超脱,8.9,2011,托尼·凯耶 Tony Kaye,穷尽一生，我们要学会的，不过是彼此拥抱。,388366
109,爱在黎明破晓前,8.8,1995,理查德·林克莱特 Richard Linklater,缘分是个连绵词，最美不过一瞬。,494284
111,入殓师,8.9,2008,泷田洋二郎 Yôjirô Takita,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,475890
113,消失的爱人,8.7,2014,大卫·芬奇 David Fincher,年度最佳date movie。,721146
114,功夫,8.7,2004,周星驰 Stephen Chow,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,808697
115,蝙蝠侠：黑暗骑士崛起,8.8,2012,克里斯托弗·诺兰 Christopher Nolan,诺兰就是保证。,574146
116,菊次郎的夏天,8.8,1999,北野武 Takeshi Kitano,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,454213
117,侧耳倾听,8.9,1995,近藤喜文 Yoshifumi Kondo,少女情怀总是诗。,369586
119,倩女幽魂,8.7,1987,程小东 Siu-Tung Ching,两张绝世的脸。,588002
121,超能陆战队,8.7,2014,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,Balalala~~~,804895
122,甜蜜蜜,8.9,1996,陈可辛 Peter Chan,相逢只要一瞬间，等待却像是一辈子。,418071
123,借东西的小人阿莉埃蒂,8.8,2010,米林宏昌 Hiromasa Yonebayashi,曾经的那段美好会沉淀为一辈子的记忆。,437408
124,萤火之森,8.9,2011,大森贵弘 Takahiro Omori,触不到的恋人。,410154
125,爱在日落黄昏时,8.8,2004,理查德·林克莱特 Richard Linklater,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,412978
127,哈利·波特与阿兹卡班的囚徒,8.8,2004,Alfonso Cuarón,不一样的导演，不一样的哈利·波特。,492396
128,玛丽和马克思,8.9,2009,亚当·艾略特 Adam Elliot,你是我最好的朋友，你是我唯一的朋友 。,360381
